id,name,category,brand,model,price,specs,image_url,in_stock,created_at,updated_at
26,AMD Ryzen 2600X,CPU,AMD,Ryzen 2600X,395,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": null, ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272785,2025-05-10 01:40:38.272786
27,Intel Core 2700X,CPU,Intel,Core i54-X,406.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 8, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.2728,2025-05-10 01:40:38.272801
28,AMD Ryzen 2800X,CPU,AMD,Ryzen 2800X,417.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 3, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272815,2025-05-10 01:40:38.272816
29,Intel Core 2900X,CPU,Intel,Core i58-X,428.6,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.27283,2025-05-10 01:40:38.272831
30,AMD Ryzen 3000X,CPU,AMD,Ryzen 3000X,439.8,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 3.1, ""boost_clock"": 4.3, ""tdp"": 125, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272855,2025-05-10 01:40:38.272856
31,Intel Core 3100X,CPU,Intel,Core i62-X,451,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 2.5, ""boost_clock"": 3.5, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272869,2025-05-10 01:40:38.27287
32,AMD Ryzen 3200X,CPU,AMD,Ryzen 3200X,462.2,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": ""Radeon"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272882,2025-05-10 01:40:38.272883
33,Intel Core 3300X,CPU,Intel,Core i66-X,473.4,"{""category"": ""CPU"", ""specs"": {""core_count"": 5, ""core_clock"": 2.8, ""boost_clock"": 3.9, ""tdp"": 95, ""graphics"": ""Intel UHD Graphics"", ""smt"": true}}",https://example.com/cpu_image.jpg,t,2025-05-10 01:40:38.272896,2025-05-10 01:40:38.272897
34,Intel Core i5-13500,CPU,Intel,Core i5-13500,249.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 14, ""core_clock"": 2.5, ""boost_clock"": 4.8, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics 770"", ""smt"": true}}",https://example.com/intel-i5-13500.jpg,t,2025-05-10 01:40:38.27291,2025-05-10 01:40:38.272911
35,AMD Ryzen 7 5700X,CPU,AMD,Ryzen 7 5700X,199.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 8, ""core_clock"": 3.4, ""boost_clock"": 4.6, ""tdp"": 65, ""graphics"": null, ""smt"": true}}",https://example.com/ryzen-7-5700x.jpg,t,2025-05-10 01:40:38.272924,2025-05-10 01:40:38.272924
36,Intel Core i3-14100,CPU,Intel,Core i3-14100,109.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 3.5, ""boost_clock"": 4.4, ""tdp"": 60, ""graphics"": ""Intel UHD Graphics 730"", ""smt"": true}}",https://example.com/intel-i3-14100.jpg,t,2025-05-10 01:40:38.272937,2025-05-10 01:40:38.272938
37,AMD Ryzen 9 5950X,CPU,AMD,Ryzen 9 5950X,449.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 16, ""core_clock"": 3.4, ""boost_clock"": 4.9, ""tdp"": 105, ""graphics"": null, ""smt"": true}}",https://example.com/ryzen-9-5950x.jpg,t,2025-05-10 01:40:38.27295,2025-05-10 01:40:38.272951
38,Intel Core i7-13700,CPU,Intel,Core i7-13700,369.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 16, ""core_clock"": 2.1, ""boost_clock"": 5.2, ""tdp"": 65, ""graphics"": ""Intel UHD Graphics 770"", ""smt"": true}}",https://example.com/intel-i7-13700.jpg,t,2025-05-10 01:40:38.272964,2025-05-10 01:40:38.272965
39,AMD Ryzen 3 4100,CPU,AMD,Ryzen 3 4100,79.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 4, ""core_clock"": 3.8, ""boost_clock"": 4.0, ""tdp"": 65, ""graphics"": null, ""smt"": true}}",https://example.com/ryzen-3-4100.jpg,t,2025-05-10 01:40:38.272978,2025-05-10 01:40:38.272979
40,Intel Pentium Gold G7400,CPU,Intel,Pentium Gold G7400,79.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 2, ""core_clock"": 3.7, ""boost_clock"": null, ""tdp"": 46, ""graphics"": ""Intel UHD Graphics 710"", ""smt"": true}}",https://example.com/pentium-g7400.jpg,t,2025-05-10 01:40:38.272991,2025-05-10 01:40:38.272992
41,AMD Ryzen Threadripper PRO 5975WX,CPU,AMD,Ryzen Threadripper PRO 5975WX,2299.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 32, ""core_clock"": 3.6, ""boost_clock"": 4.5, ""tdp"": 280, ""graphics"": null, ""smt"": true}}",https://example.com/threadripper-5975wx.jpg,t,2025-05-10 01:40:38.273005,2025-05-10 01:40:38.273006
42,Intel Core i9-14900K,CPU,Intel,Core i9-14900K,589.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 24, ""core_clock"": 3.2, ""boost_clock"": 6.0, ""tdp"": 125, ""graphics"": ""Intel UHD Graphics 770"", ""smt"": true}}",https://example.com/intel-i9-14900k.jpg,t,2025-05-10 01:40:38.273019,2025-05-10 01:40:38.27302
43,AMD Ryzen 5 8600G,CPU,AMD,Ryzen 5 8600G,219.99,"{""category"": ""CPU"", ""specs"": {""core_count"": 6, ""core_clock"": 4.3, ""boost_clock"": 5.0, ""tdp"": 65, ""graphics"": ""Radeon 760M"", ""smt"": true}}",https://example.com/ryzen-5-8600g.jpg,t,2025-05-10 01:40:38.273033,2025-05-10 01:40:38.273033
44,Thermalright Peerless Assassin 120 SE,Cooler,Thermalright,Peerless Assassin 120 SE,33.9,"{""category"": ""Cooler"", ""specs"": {""rpm"": 1550, ""noise_level"": 25.6, ""color"": ""Black"", ""size"": null}}",,t,2025-05-10 01:40:38.273237,2025-05-10 01:40:38.273238
45,NZXT Kraken Elite 360 RGB,Cooler,NZXT,Kraken Elite 360 RGB,273.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 1800], ""noise_level"": [17.9, 30.6], ""color"": ""White"", ""size"": 360}}",,t,2025-05-10 01:40:38.273268,2025-05-10 01:40:38.273269
46,Deepcool GAMMAXX AG400 ARGB,Cooler,Deepcool,GAMMAXX AG400 ARGB,29.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2000], ""noise_level"": 31.6, ""color"": ""Black"", ""size"": null}}",,t,2025-05-10 01:40:38.273287,2025-05-10 01:40:38.273288
47,Corsair iCUE H150i ELITE CAPELLIX XT,Cooler,Corsair,iCUE H150i ELITE CAPELLIX XT,189.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [550, 2100], ""noise_level"": [5, 34.1], ""color"": ""Black"", ""size"": 360}}",,t,2025-05-10 01:40:38.273304,2025-05-10 01:40:38.273305
48,Noctua NH-D15,Cooler,Noctua,NH-D15,99.95,"{""category"": ""Cooler"", ""specs"": {""rpm"": [300, 1500], ""noise_level"": 24.6, ""color"": ""Brown"", ""size"": null}}",,t,2025-05-10 01:40:38.273322,2025-05-10 01:40:38.273324
49,ARCTIC Freezer 34 eSports DUO,Cooler,ARCTIC,Freezer 34 eSports DUO,49.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [200, 2100], ""noise_level"": 28.0, ""color"": ""Black/Red"", ""size"": null}}",,t,2025-05-10 01:40:38.273342,2025-05-10 01:40:38.273344
50,be quiet! Dark Rock Pro 4,Cooler,be quiet!,Dark Rock Pro 4,89.9,"{""category"": ""Cooler"", ""specs"": {""rpm"": 1500, ""noise_level"": 24.3, ""color"": ""Black"", ""size"": null}}",,t,2025-05-10 01:40:38.273362,2025-05-10 01:40:38.273363
51,Cooler Master Hyper 212 Black Edition,Cooler,Cooler Master,Hyper 212 Black Edition,44.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [650, 2000], ""noise_level"": 26.0, ""color"": ""Black"", ""size"": null}}",,t,2025-05-10 01:40:38.273383,2025-05-10 01:40:38.273384
52,Lian Li Galahad II Trinity 360,Cooler,Lian Li,Galahad II Trinity 360,139.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [200, 2450], ""noise_level"": [20.6, 39.9], ""color"": ""White"", ""size"": 360}}",,t,2025-05-10 01:40:38.273401,2025-05-10 01:40:38.273402
53,DeepCool LT720,Cooler,DeepCool,LT720,129.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2250], ""noise_level"": 32.9, ""color"": ""Black"", ""size"": 360}}",,t,2025-05-10 01:40:38.273492,2025-05-10 01:40:38.273494
54,Thermaltake TH360 ARGB Sync,Cooler,Thermaltake,TH360 ARGB Sync,119.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 1500], ""noise_level"": 28.2, ""color"": ""Black"", ""size"": 360}}",,t,2025-05-10 01:40:38.273526,2025-05-10 01:40:38.273527
55,EK Nucleus AIO CR360 Lux D-RGB,Cooler,EK,Nucleus AIO CR360 Lux D-RGB,184.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [550, 2300], ""noise_level"": 36.4, ""color"": ""Black"", ""size"": 360}}",,t,2025-05-10 01:40:38.273554,2025-05-10 01:40:38.273556
56,MSI MAG CoreLiquid 240R V2,Cooler,MSI,MAG CoreLiquid 240R V2,99.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2000], ""noise_level"": 34.3, ""color"": ""Black"", ""size"": 240}}",,t,2025-05-10 01:40:38.273586,2025-05-10 01:40:38.273588
57,ID-COOLING SE-224-XT ARGB,Cooler,ID-COOLING,SE-224-XT ARGB,32.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 1800], ""noise_level"": 26.4, ""color"": ""Black"", ""size"": null}}",,t,2025-05-10 01:40:38.273619,2025-05-10 01:40:38.27362
58,Zalman CNPS10X Performa Black,Cooler,Zalman,CNPS10X Performa Black,37.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [800, 1500], ""noise_level"": 27.0, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273642,2025-05-10 01:40:38.273644
59,SilverStone PF360 ARGB,Cooler,SilverStone,PF360 ARGB,129.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [600, 2200], ""noise_level"": 36.0, ""color"": ""White"", ""size"": 360}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273663,2025-05-10 01:40:38.273663
60,Noctua NH-U12S Redux,Cooler,Noctua,NH-U12S Redux,49.95,"{""category"": ""Cooler"", ""specs"": {""rpm"": [300, 1500], ""noise_level"": 25.1, ""color"": ""Gray"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273684,2025-05-10 01:40:38.273684
61,Scythe Mugen 5 Rev.B,Cooler,Scythe,Mugen 5 Rev.B,59.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [300, 1200], ""noise_level"": 24.9, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273719,2025-05-10 01:40:38.27372
62,Enermax Aquafusion ADV 240,Cooler,Enermax,Aquafusion ADV 240,109.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2000], ""noise_level"": 32.6, ""color"": ""Black"", ""size"": 240}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273755,2025-05-10 01:40:38.273758
63,ARCTIC Liquid Freezer II 360,Cooler,ARCTIC,Liquid Freezer II 360,114.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [200, 1800], ""noise_level"": 22.5, ""color"": ""Black"", ""size"": 360}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273803,2025-05-10 01:40:38.273804
64,Thermaltake TOUGHLIQUID Ultra 240,Cooler,Thermaltake,TOUGHLIQUID Ultra 240,159.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2000], ""noise_level"": 30.0, ""color"": ""Black"", ""size"": 240}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273848,2025-05-10 01:40:38.273849
65,ID-COOLING FROSTFLOW X 240,Cooler,ID-COOLING,FROSTFLOW X 240,69.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [700, 1800], ""noise_level"": 26.4, ""color"": ""Black"", ""size"": 240}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273874,2025-05-10 01:40:38.273875
66,be quiet! Pure Rock 2 FX,Cooler,be quiet!,Pure Rock 2 FX,47.9,"{""category"": ""Cooler"", ""specs"": {""rpm"": [300, 1800], ""noise_level"": 26.8, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273895,2025-05-10 01:40:38.273897
67,MSI MEG CoreLiquid S360,Cooler,MSI,MEG CoreLiquid S360,229.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [500, 2000], ""noise_level"": 39.9, ""color"": ""Black"", ""size"": 360}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273929,2025-05-10 01:40:38.27393
68,Vetroo V5 White,Cooler,Vetroo,V5 White,24.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [800, 1700], ""noise_level"": 30.8, ""color"": ""White"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273966,2025-05-10 01:40:38.273967
69,Enermax ETS-F40-FS ARGB,Cooler,Enermax,ETS-F40-FS ARGB,44.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [300, 1200], ""noise_level"": 23.6, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.273995,2025-05-10 01:40:38.273997
70,Cougar Aqua ARGB 240,Cooler,Cougar,Aqua ARGB 240,84.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [600, 2000], ""noise_level"": 34.5, ""color"": ""Black"", ""size"": 240}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.274015,2025-05-10 01:40:38.274016
71,Montech AIR Cooler 210,Cooler,Montech,AIR Cooler 210,34.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [600, 1800], ""noise_level"": 29.5, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.274064,2025-05-10 01:40:38.274065
72,Jonsbo CR-1400 RGB,Cooler,Jonsbo,CR-1400 RGB,26.99,"{""category"": ""Cooler"", ""specs"": {""rpm"": [800, 1600], ""noise_level"": 28.1, ""color"": ""Black"", ""size"": null}}",https://example.com/cooler_image.jpg,t,2025-05-10 01:40:38.274115,2025-05-10 01:40:38.274116
73,MSI B650 GAMING PLUS WIFI,Motherboard,MSI,B650 GAMING PLUS WIFI,169.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""AM5"", ""form_factor"": ""ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Black""}}",https://storage-asset.msi.com/global/picture/image/feature/mb/B650/B650-GAMING-PLUS-WIFI/b650-gaming-plus-wifi-hero-block01.png,t,2025-05-10 01:40:38.27429,2025-05-10 01:40:38.274291
74,Asus ROG STRIX B650-A GAMING WIFI,Motherboard,Asus,ROG STRIX B650-A GAMING WIFI,199.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""AM5"", ""form_factor"": ""ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Black / Silver""}}",https://dlcdnwebimgs.asus.com/gain/8B4FE1A6-E69B-4214-A278-8FB708F3AD97/w717/h525,t,2025-05-10 01:40:38.27431,2025-05-10 01:40:38.274311
75,MSI B760 GAMING PLUS WIFI,Motherboard,MSI,B760 GAMING PLUS WIFI,159.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""LGA1700"", ""form_factor"": ""ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Black / Silver""}}",https://asset-us-store.msi.com/image/cache/catalog/Pd_page/Motherboard/B760GPWIFI/B760GPWIFI-1-1024x1024.png,t,2025-05-10 01:40:38.274324,2025-05-10 01:40:38.274325
76,MSI PRO Z790-A MAX WIFI,Motherboard,MSI,PRO Z790-A MAX WIFI,239.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""LGA1700"", ""form_factor"": ""ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Silver / Black""}}",https://altex.com/cdn/shop/files/msi-pro-z790-a-max-wifi-gaming-desktop-motherboard-lga-1700-atx-694728.jpg?v=1733278659&width=2048,t,2025-05-10 01:40:38.274337,2025-05-10 01:40:38.274338
77,Gigabyte B650M AORUS Elite AX,Motherboard,Gigabyte,B650M AORUS Elite AX,179.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""AM5"", ""form_factor"": ""Micro ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Black / Gray""}}",https://www.gigabyte.com/FileUpload/Global/KeyFeature/2636/innergigabyteb650maoruseliteaxrev10.jpg,t,2025-05-10 01:40:38.274351,2025-05-10 01:40:38.274352
78,ASRock B650 PG Lightning,Motherboard,ASRock,B650 PG Lightning,154.99,"{""category"": ""Motherboard"", ""specs"": {""socket"": ""AM5"", ""form_factor"": ""ATX"", ""max_memory"": 192, ""memory_slots"": 4, ""color"": ""Black""}}",https://pg.asrock.com/mb/photo/B650%20PG%20Lightning(L1).png,t,2025-05-10 01:40:38.274365,2025-05-10 01:40:38.274365
